CREATED_AT,BYN,PLN,EUR
2020-01-28,2.128127,3.87595,0.90726
2020-01-29,2.130744,3.89115,0.907899
2020-01-30,2.140045,3.89315,0.90672
2020-01-31,2.140531,3.872904,0.901299
2020-02-01,2.140531,3.872904,0.901364
2020-02-02,2.140531,3.87485,0.90176
2020-02-03,2.144532,3.885695,0.90395
2020-02-04,2.150643,3.87025,0.905398
2020-02-05,2.153125,3.86005,0.909097
2020-02-06,2.165266,3.87875,0.910701
2020-02-07,2.183377,3.904204,0.913618
2020-02-08,2.183377,3.904204,0.913551
2020-02-09,2.183377,3.90271,0.913335
2020-02-10,2.185526,3.908645,0.916498
2020-02-11,2.191547,3.89835,0.915835
2020-02-12,2.191757,3.90985,0.919495
2020-02-13,2.203267,3.91671,0.922201
2020-02-14,2.195801,3.922038,0.923289
2020-02-15,2.195801,3.922038,0.923289
2020-02-16,2.195801,3.91899,0.92239
2020-02-17,2.196485,3.93125,0.922698
2020-02-18,2.203813,3.95345,0.926365
2020-02-19,2.203064,3.95065,0.925069
2020-02-20,2.205577,3.96505,0.926977
2020-02-21,2.215001,3.952804,0.92191
2020-02-22,2.215001,3.952804,0.92191
2020-02-23,2.215001,3.961305,0.92263
2020-02-24,2.228106,3.97015,0.921748
2020-02-25,2.234992,3.95755,0.919075
2020-02-26,2.234056,3.96495,0.918675
2020-02-27,2.233714,3.93154,0.90935
2020-02-28,2.238507,3.92962,0.906833
2020-02-29,2.238507,3.92962,0.906799
2020-03-01,2.238507,3.92252,0.904905
2020-03-02,2.239819,3.87445,0.897371
2020-03-03,2.232713,3.85525,0.894598
2020-03-04,2.227268,3.856899,0.897785
2020-03-05,2.236987,3.83735,0.89099
2020-03-06,2.242236,3.80605,0.886038
2020-03-07,2.242236,3.808038,0.886014
2020-03-08,2.242236,3.792265,0.87831
2020-03-09,3.079864,3.799515,0.877385
2020-03-10,2.312092,3.80503,0.883669
2020-03-11,2.330358,3.84305,0.88802
2020-03-12,2.352251,3.91645,0.89416
2020-03-13,2.335201,3.94035,0.897545
2020-03-14,2.335201,3.94035,0.897304
2020-03-15,2.335201,3.92275,0.896585
2020-03-16,2.370901,3.98007,0.896024
2020-03-17,2.386368,4.057051,0.90789
2020-03-18,2.463352,4.099725,0.91234
2020-03-19,2.564363,4.286611,0.938435
2020-03-20,2.572661,4.24195,0.929152
2020-03-21,2.572661,4.24195,0.929066
2020-03-22,2.572661,4.22935,0.935159
2020-03-23,2.625499,4.28225,0.929015
2020-03-24,2.607584,4.262885,0.92574
2020-03-25,2.59763,4.19162,0.91835
2020-03-26,2.581863,4.091805,0.90516
2020-03-27,2.581185,4.07325,0.895504
2020-03-28,2.581185,4.07325,0.895375
2020-03-29,2.553169,4.074785,0.89781
2020-03-30,2.597592,4.11765,0.90665
2020-03-31,2.585025,4.13585,0.906935
2020-04-01,2.596576,4.19705,0.91299
2020-04-02,2.611563,4.20845,0.921945
2020-04-03,2.585129,4.24559,0.925555
2020-04-04,2.585129,4.24559,0.925498
2020-04-05,2.585129,4.24665,0.925375
2020-04-06,2.571847,4.22355,0.925799
2020-04-07,2.551284,4.15425,0.91789
2020-04-08,2.550071,4.17075,0.920705
2020-04-09,2.505501,4.161775,0.915265
2020-04-10,2.491315,4.16345,0.914369
2020-04-11,2.491315,4.16345,0.914453
2020-04-12,2.491315,4.16405,0.91474
2020-04-13,2.484583,4.15895,0.915701
2020-04-14,2.451364,4.11455,0.91035
2020-04-15,2.454813,4.16175,0.917027
2020-04-16,2.450396,4.17155,0.92099
2020-04-17,2.445357,4.156038,0.91954
2020-04-18,2.437149,4.155904,0.91954
2020-04-19,2.437149,4.15935,0.92026
2020-04-20,2.444138,4.16285,0.920425
2020-04-21,2.493051,4.17755,0.92117
2020-04-22,2.476909,4.20955,0.925303
2020-04-23,2.470233,4.21495,0.928096
2020-04-24,2.456043,4.206125,0.923788
2020-04-25,2.456043,4.19125,0.924039
2020-04-26,2.456043,4.19285,0.924102
2020-04-27,2.45822,4.19105,0.924034
2020-04-28,2.462972,4.19865,0.92298
2020-04-29,2.435541,4.18065,0.919385
2020-04-30,2.420698,4.15115,0.91366
2020-05-01,2.40471,4.16355,0.901429
2020-05-02,2.40471,4.16355,0.901348
2020-05-03,2.40471,4.168817,0.912475
2020-05-04,2.454247,4.17081,0.91712
2020-05-05,2.451711,4.18625,0.92266
2020-05-06,2.460905,4.21339,0.926085
2020-05-07,2.452529,4.20205,0.92278
2020-05-08,2.435844,4.20465,0.911536
2020-05-09,2.435844,4.20475,0.911536
2020-05-10,2.435844,4.19715,0.922585
2020-05-11,2.439958,4.21535,0.925155
2020-05-12,2.442119,4.206965,0.92197
2020-05-13,2.44352,4.21945,0.924103
2020-05-14,2.455618,4.219925,0.92536
2020-05-15,2.446715,4.222404,0.924078
2020-05-16,2.446715,4.222404,0.924078
2020-05-17,2.446715,4.21995,0.924298
2020-05-18,2.435232,4.17994,0.916196
2020-05-19,2.411717,4.1628,0.915303
2020-05-20,2.401205,4.13095,0.9107
2020-05-21,2.390755,4.12195,0.913201
2020-05-22,2.399556,4.14095,0.917389
2020-05-23,2.399556,4.14095,0.917011
2020-05-24,2.399556,4.139695,0.916784
2020-05-25,2.403586,4.12885,0.917305
2020-05-26,2.401734,4.04404,0.910802
2020-05-27,2.409705,4.02222,0.90773
2020-05-28,2.412974,4.02175,0.90263
2020-05-29,2.409896,4.00555,0.900495
2020-05-30,2.409896,4.00555,0.900495
2020-05-31,2.409896,3.996098,0.899502
2020-06-01,2.407438,3.957705,0.89883
2020-06-02,2.399309,3.919665,0.89385
2020-06-03,2.398732,3.92435,0.890099
2020-06-04,2.39899,3.91185,0.882101
2020-06-05,2.382028,3.92885,0.885665
2020-06-06,2.382028,3.92885,0.885622
2020-06-07,2.382028,3.91975,0.883455
2020-06-08,2.375322,3.91285,0.884545
2020-06-09,2.378087,3.920951,0.882465
2020-06-10,2.370399,3.921685,0.879885
2020-06-11,2.374365,3.96405,0.885915
2020-06-12,2.380403,3.948504,0.888324
2020-06-13,2.380403,3.948504,0.888462
2020-06-14,2.380403,3.95445,0.888765
2020-06-15,2.388013,3.89525,0.882035
2020-06-16,2.373942,3.946799,0.88768
2020-06-17,2.38865,3.970797,0.88948
2020-06-18,2.380157,3.973496,0.8921
2020-06-19,2.374293,3.99355,0.894494
2020-06-20,2.374293,3.99355,0.894666
2020-06-21,2.374293,3.998345,0.89468
2020-06-22,2.373713,3.934115,0.88658
2020-06-23,2.374411,3.9309,0.884015
2020-06-24,2.373496,3.962165,0.88885
2020-06-25,2.384387,3.968885,0.891197
2020-06-26,2.386091,3.98305,0.891381
2020-06-27,2.386091,3.98305,0.891421
2020-06-28,2.386091,3.982325,0.890899
2020-06-29,2.403763,3.96155,0.88914
2020-06-30,2.421409,3.95785,0.890098
2020-07-01,2.430543,3.97785,0.88881
2020-07-02,2.424562,3.972303,0.88988
2020-07-03,2.437236,3.96775,0.889104
2020-07-04,2.437236,3.96775,0.889284
2020-07-05,2.437236,3.96835,0.88914
2020-07-06,2.440687,3.94686,0.883975
2020-07-07,2.443333,3.969097,0.886931
2020-07-08,2.441087,3.947155,0.881987
2020-07-09,2.431324,3.95865,0.885925
2020-07-10,2.421877,3.952825,0.885348
2020-07-11,2.422842,3.951904,0.885348
2020-07-12,2.422842,3.950075,0.884195
2020-07-13,2.417481,3.958675,0.881415
2020-07-14,2.418878,3.920196,0.876395
2020-07-15,2.398256,3.92225,0.875875
2020-07-16,2.394914,3.936451,0.877899
2020-07-17,2.396724,3.917905,0.875048
2020-07-18,2.396724,3.917905,0.874929
2020-07-19,2.396724,3.91282,0.873945
2020-07-20,2.389773,3.88898,0.872799
2020-07-21,2.386741,3.844255,0.867025
2020-07-22,2.382327,3.82285,0.864494
2020-07-23,2.389155,3.80201,0.862385
2020-07-24,2.387984,3.779204,0.857924
2020-07-25,2.387984,3.779204,0.857924
2020-07-26,2.387984,3.78105,0.858215
